patient_id,species,admission_date,final_date,status,found_city,found_state,found_county,new_location,stay_length,admit_year,admit_month
2017-0020,EASO,2017-02-08,2017-02-08,DOA,Banner Elk,NC,Avery,"AVERY COUNTY, NC",0,2017,2
2020-0769,MUMU,2020-11-11,2020-11-24,R,Hickory,NC,UNKNOWN,"UNKNOWN COUNTY, NC",13,2020,11
2019-0354,AMRO,2019-05-16,2019-05-20,D,Srpuce PIne,NC,UNKNOWN,"UNKNOWN COUNTY, NC",4,2019,5
2018-0048,DIVI,2018-03-05,2018-03-27,R,Newland,NC,Avery,"AVERY COUNTY, NC",22,2018,3
2018-0031,EUST,2018-01-30,2018-02-09,D,Valle Crucis,NC,Watauga,"WATAUGA COUNTY, NC",10,2018,1
2018-0950,DIVI,2018-07-27,2018-09-19,R,West Jefferson,NC,UNKNOWN,"UNKNOWN COUNTY, NC",54,2018,7
2018-0009,DIVI,2018-01-12,2018-01-12,DOA,Banner Elk,NC,Avery,"AVERY COUNTY, NC",0,2018,1
2017-1007,EASO,2017-09-26,2017-12-01,R,North Wilkesboro,NC,Wilkes,"WILKES COUNTY, NC",66,2017,9
2017-0038,PELE,2017-03-05,2017-03-06,D24,Newland,NC,UNKNOWN,"UNKNOWN COUNTY, NC",1,2017,3
2017-0037,RTHA,2017-03-04,2017-03-04,EOA,Vilas,NC,Watauga,"WATAUGA COUNTY, NC",0,2017,3
2017-0007,BDOW,2017-01-13,2017-01-25,E,Newland,NC,Avery,"AVERY COUNTY, NC",12,2017,1
2017-0002,THSI,2017-01-04,2017-01-12,R,Banner Elk,NC,Avery,"AVERY COUNTY, NC",8,2017,1
2017-0001,EASO,2017-01-02,2017-07-26,R,Newland,NC,Avery,"AVERY COUNTY, NC",205,2017,1
2017-0003,EASO,2017-01-07,2017-01-07,DOA,Newland,NC,Avery,"AVERY COUNTY, NC",0,2017,1
2017-0004,BDOW,2017-01-08,2017-02-19,R,Trade,TN,UNKNOWN,TN,42,2017,1
